# filename: match_astrom_342.1914_-0.90194_run4198.dat 
# nominal center (used for x,y conversion): 342.191375, -0.901944
# source of interest
#   master_objid: 8647475119823389164
#    master_pos: 342.191518, -0.902013
#   fiducal master location (delta ra, delta dec): 0.318662, -0.248112
# converted source location (delta ra, delta dec): 0.263502, -0.155628
# source location (ra, dec): 342.191493, -0.901988
# source error (raerr, decerr): 0.026420, 0.024358
# observation time (day): 736.900364
# t0 (day): 52197.262300
master_objid,objid,master_ra,master_dec,master_dra,master_ddec,master_raerr,master_decerr,master_radeccov,ra,dec,dra,ddec,raerr,decerr,radeccov,master_rmag,rmag
8647475119823388796,8658188314445217861,342.138708,-0.930045,-117.567942,-101.163060,0.000251,0.000253,0.0,342.138699,-0.930029,-117.588926,-101.103336,0.001380,0.001474,0.0,15.926816,15.920065
8647475119823389048,8658188314445217917,342.136560,-0.899614,-122.364013,8.391024,0.000864,0.000890,0.0,342.136553,-0.899602,-122.380643,8.432532,0.004910,0.005044,0.0,18.264708,18.265059
8647475119823389044,8658188314445218212,342.135934,-0.909542,-123.761237,-27.351360,0.011261,0.011538,0.0,342.135859,-0.909519,-123.929062,-27.266940,0.070868,0.068805,0.0,21.258400,21.353174
8647475119823389051,8658188314445218216,342.137850,-0.914012,-119.485116,-43.441884,0.005518,0.006192,0.0,342.137841,-0.914065,-119.505385,-43.634160,0.027447,0.050549,0.0,20.668533,20.024902
8647475119823389052,8658188314445218216,342.137821,-0.914474,-119.550143,-45.106704,0.011585,0.014411,0.0,342.137841,-0.914065,-119.505385,-43.634160,0.027447,0.050549,0.0,20.858196,20.024902
8647475119823390318,8658188314445218424,342.137340,-0.878172,-120.623816,85.581216,0.034712,0.032807,0.0,342.137396,-0.878132,-120.498472,85.723452,0.162775,0.165428,0.0,22.068499,22.022560
8647475119823389699,8658188314445218430,342.141283,-0.889081,-111.819994,46.306908,0.023303,0.024246,0.0,342.141348,-0.889110,-111.676211,46.202580,0.120270,0.157373,0.0,22.356037,22.125202
8647475119823390316,8658188314445218528,342.136651,-0.925843,-122.161721,-86.035968,0.139448,0.171449,0.0,342.136528,-0.925740,-122.434866,-85.663404,0.158335,0.132736,0.0,22.217806,23.311113
8647475119823390326,8658188314445218536,342.141255,-0.921078,-111.882945,-68.879592,0.041999,0.052525,0.0,342.141233,-0.921152,-111.932502,-69.146100,0.133170,0.132156,0.0,22.490438,22.714611
8647475119823388907,8658188314445283356,342.201065,-0.917738,21.631828,-56.856492,0.000387,0.000381,0.0,342.201077,-0.917733,21.657344,-56.840580,0.001992,0.002027,0.0,16.713697,16.714066
8647475119823388920,8658188314445283362,342.211889,-0.873036,45.794447,104.068692,0.000390,0.000410,0.0,342.211900,-0.873044,45.818266,104.039856,0.002078,0.002148,0.0,16.839767,16.837065
8647475119823454261,8658188314445283380,342.229538,-0.888547,85.191745,48.231720,0.000314,0.000319,0.0,342.229533,-0.888557,85.180405,48.196332,0.001557,0.001622,0.0,16.280910,16.283066
8647475119823388816,8658188314445283420,342.156602,-0.897706,-77.623103,15.256548,0.000532,0.000537,0.0,342.156615,-0.897707,-77.594909,15.252840,0.002874,0.003061,0.0,17.384005,17.385063
8647475119823388817,8658188314445283421,342.154787,-0.899720,-81.676284,8.007156,0.001199,0.001237,0.0,342.154801,-0.899721,-81.644496,8.003376,0.006633,0.007046,0.0,18.716097,18.660051
8647475119823389078,8658188314445283423,342.157192,-0.879016,-76.307760,82.542672,0.000886,0.000913,0.0,342.157203,-0.879019,-76.283317,82.531188,0.005006,0.005207,0.0,18.307749,18.307058
8647475119823455561,8658188314445284074,342.234773,-0.905804,96.878126,-13.895820,0.029272,0.027043,0.0,342.234755,-0.905741,96.838480,-13.667472,0.155154,0.111214,0.0,22.460764,22.940319
8647475119823389827,8658188314445284134,342.146308,-0.890752,-100.603246,40.292496,0.042424,0.041265,0.0,342.146038,-0.891183,-101.206505,38.741724,0.251164,0.378532,0.0,22.326439,21.810667
8647475119823390375,8658188314445284135,342.148584,-0.911278,-95.523226,-33.600528,0.054813,0.058181,0.0,342.148595,-0.911234,-95.498448,-33.443604,0.214059,0.284950,0.0,22.458662,21.884029
8647475119823390718,8658188314445284138,342.215123,-0.936130,53.012126,-123.068160,0.068593,0.062907,0.0,342.215195,-0.936214,53.173008,-123.369804,0.523147,0.273482,0.0,22.496225,22.028488
8647475119823455598,8658188314445284139,342.243799,-0.936704,117.026072,-125.135316,0.612471,0.178158,0.0,342.243782,-0.936664,116.988190,-124.990812,0.318053,0.142452,0.0,22.443411,22.309998
8647475119823454927,8658188314445283895,342.236413,-0.917749,100.538799,-56.896128,0.008370,0.007614,0.0,342.236424,-0.917745,100.564002,-56.881584,0.041319,0.036196,0.0,20.430117,20.461699
8647475119823454495,8658188314445283896,342.237473,-0.913958,102.905091,-43.249464,0.045486,0.063971,0.0,342.237444,-0.913799,102.839751,-42.677892,0.113609,0.289580,0.0,21.305361,21.467730
8647475119823454928,8658188314445283900,342.238652,-0.918361,105.536358,-59.100300,0.028265,0.032913,0.0,342.238619,-0.918349,105.464232,-59.054832,0.185134,0.115798,0.0,22.194576,21.768993
8647475119823455591,8658188314445283904,342.243302,-0.877452,115.916146,88.172316,0.075969,0.035113,0.0,342.243393,-0.877528,116.119866,87.898500,0.245176,0.202794,0.0,21.811790,21.713390
8647475119823390397,8658188314445284027,342.151612,-0.908932,-88.763484,-25.153920,0.076397,0.047986,0.0,342.151599,-0.908921,-88.792772,-25.114680,0.134121,0.104110,0.0,22.080051,22.628098
8647475119823391187,8658188314445284062,342.210434,-0.902678,42.545501,-2.640024,0.098235,0.088164,0.0,342.210823,-0.902686,43.414538,-2.671164,0.314527,0.197999,0.0,22.179966,21.942455
8647475119823454903,8658188314445283877,342.223065,-0.882021,70.741254,71.724600,0.017693,0.019948,0.0,342.223045,-0.882022,70.696295,71.720892,0.111876,0.101550,0.0,22.014532,22.059107
8647475119823454255,8658188314445283880,342.225167,-0.921473,75.435039,-70.303284,0.065517,0.049155,0.0,342.225167,-0.921426,75.433901,-70.132788,0.084698,0.088777,0.0,21.047516,21.212605
8647475119823455236,8658188314445283881,342.225672,-0.881071,76.561685,75.145716,0.022648,0.022230,0.0,342.225705,-0.881064,76.635128,75.169980,0.102513,0.157567,0.0,22.355366,22.221666
8647475119823454496,8658188314445283886,342.230494,-0.922836,87.325185,-75.210516,0.036738,0.045388,0.0,342.230628,-0.922838,87.625029,-75.215880,0.267733,0.119563,0.0,21.727983,21.809675
8647475119823455333,8658188314445283891,342.234934,-0.902101,97.237483,-0.562140,0.031986,0.034675,0.0,342.234925,-0.902117,97.216812,-0.622908,0.115561,0.116900,0.0,21.676191,21.616989
8647475119823454487,8658188314445283893,342.235660,-0.913171,98.858117,-40.415400,0.012655,0.012844,0.0,342.235631,-0.913169,98.792866,-40.410360,0.067462,0.066560,0.0,21.544643,21.419926
8647475119823389615,8658188314445283861,342.209827,-0.885420,41.191293,59.486580,0.011168,0.011447,0.0,342.209836,-0.885422,41.210424,59.481720,0.054469,0.060363,0.0,21.113783,21.119835
8647475119823389614,8658188314445283862,342.210557,-0.884530,42.820834,62.690940,0.012456,0.012035,0.0,342.210579,-0.884515,42.868404,62.744652,0.093021,0.053787,0.0,21.697924,21.664705
8647475119823389639,8658188314445283864,342.213116,-0.881621,48.532083,73.162476,0.020247,0.029909,0.0,342.213080,-0.881672,48.452792,72.981396,0.132578,0.167176,0.0,20.989605,20.927202
8647475119823389741,8658188314445283868,342.215949,-0.894045,54.856771,28.436292,0.022269,0.021447,0.0,342.216008,-0.893963,54.987585,28.731816,0.103928,0.077269,0.0,22.210829,22.202986
